"creator","Troy Sandberg"
"creator-email","tsandberg@ucsd.edu"
"project","42C"
"data-type","DNA-seq"
"run-date","2013-03-01"
"taxonomy-id","511145"
"strain-description","WT"
"antibody","none"
"temperature","42"
"base-media","M9"
"isolate-type","clonal"
"carbon-source","glucose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"Sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic","none"
"ALE-number","1"
"Flask-number","124"
"Isolate-number","1"
"technical-replicate-number","1"
"machine","MiSeq"
"library-prep-kit-manufacturer","Illumina"
"library-prep-kit-cycles","300 Cycle"
"library-prep-kit","Nextera XT"
"read-type","Paired-end reads"
"read-length","151"
"experiment-details","none"
"calcium-source","CaCl2(0.1)"
