"creator","Olivier Tenaillon"
"creator-email","olivier.tenaillon@inserm.fr"
"project","42C_Tenaillon"
"data-type","DNA-seq"
"run-date","2012-01-27"
"taxonomy-id","413997"
"strain-description","Ara- LTEE strain from generation 2000"
"base-media","DM25"
"isolate-type","clonal"
"ALE-number","101"
"Flask-number","1"
"Isolate-number","1"
"technical-replicate-number","1"
"sample-time",""
"Link-to-reference-sequence","https://www.ncbi.nlm.nih.gov/nuccore/CP000819"
"read-files","R3_Lane2_BC01_1.fq,R3_Lane2_BC01_2.fq"
"serial-number",""
"antibody",""
"temperature","42.2"
"carbon-source","glucose(0.025)"
"nitrogen-source","(NH4)2SO4(1)"
"phosphorous-source","KH2PO4(9)"
"sulfur-source","MgSO4(0.5)"
"electron-acceptor","O2"
"supplement","vitamin-B1(0.01)"
"antibiotic",""
"machine","HiSeq"
"library-prep-kit-manufacturer",""
"library-prep-kit",""
"library-prep-kit-cycles","76 Cycle"
"read-type","Paired-end reads"
"read-length","76"
"experiment-details",""
"Pre-culture-details",""
"Cultivation-details","shake flask"
"environment",""
"genome-reference-file","REL606.gb (CP000819 v1)"
"archive-link",""
