"project","WT_P_aeruginosa_spent_medium"
"carbon-source","glucose(5)"
"data-type","DNA-seq"
"taxonomy-id","511145"
"strain-description","CP042583"
"antibody","none"
"temperature","37"
"base-media","M9"
"isolate-type","clonal"
"supplement","IPA(500mM)"
"nitrogen-source","NH4Cl(2)"
"phosphorous-source","KH2PO4(3),Na2HPO4(17.1)"
"sulfur-source","MgSO4(0.123)"
"electron-acceptor","O2"
"antibiotic","none"
"ALE-number","3"
"Flask-number","50"
"Isolate-number","1"
"technical-replicate-number","1"
"machine","MiSeq"
"library-prep-kit-manufacturer","?"
"library-prep-kit","?"
"library-prep-kit-cycles","?"
"calcium-source","CaCl2(0.1325)"
