"creator","Adam Feist"
"creator-email","afeist@ucsd.edu"
"project","SER"
"data-type","DNA-seq"
"run-date","2016-02-01"
"taxonomy-id","511145"
"strain-description","ΔsdaA,ΔsdaB,ΔtdcG,ΔglyA"
"antibody","none"
"temperature","37"
"base-media","M9"
"isolate-type","clonal"
"carbon-source","glucose(2)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","glycine(2mM),L-Serine(varying),Wolfe's vitamin solution,trace elements(X1)"
"antibiotic","none"
"ALE-number","3"
"Flask-number","50"
"Isolate-number","1"
"technical-replicate-number","1"
"machine","MiSeq"
"library-prep-kit-manufacturer","?"
"library-prep-kit","?"
"library-prep-kit-cycles","?"
"read-type","Paired-end reads"
"read-length","151"
"experiment-details",""
"calcium-source","CaCl2(0.1)"
