"creator","David Heckmann"
"creator-email","dheckmann@ucsd.edu"
"project","evo"
"data-type","DNA-seq"
"run-date","20180117"
"taxonomy-id","511145"
"strain-description","GMOS"
"base-media","M9"
"isolate-type","clonal"
"ALE-number","23"
"Flask-number","184"
"Isolate-number","1"
"technical-replicate-number","1"
"sample-time","0"
"Link-to-reference-sequence","https://raw.githubusercontent.com/SBRG/bop27refseq/master/bop27_1_4.gb"
"read-files","CCK_Evo01EP_Isolate_1_S1589_L005_R1_001.fastq,CCK_Evo01EP_Isolate_1_S1589_L005_R2_001.fastq"
"serial-number",""
"antibody","none"
"temperature","37"
"carbon-source","glucose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic","none"
"machine","Hiseq"
"library-prep-kit-manufacturer","Kapa"
"library-prep-kit","KAPA HyperPlus"
"library-prep-kit-cycles","300 Cycle"
"read-type","Paired-end reads"
"read-length","151"
"experiment-details",""
"Pre-culture-details",""
"Cultivation-details",""
"environment",""
"calcium-source","CaCl2(0.1)"
