"creator","David Heckmann"
"creator-email","dheckmann@ucsd.edu"
"project","sdh"
"data-type","DNA-seq"
"run-date","20160601"
"taxonomy-id","511145"
"strain-description","ΔsdhCDAB,glucose M9 pre-evolved"
"base-media","M9"
"isolate-type","population"
"ALE-number","20"
"Flask-number","176"
"Isolate-number","0"
"technical-replicate-number","1"
"sample-time","0"
"Link-to-reference-sequence","https://raw.githubusercontent.com/SBRG/bop27refseq/master/bop27_1_4.gb"
"read-files","Evo04sdhCadhBEvo01EP_S20_L001_R2_001.fastq,Evo04sdhCadhBEvo01EP_S20_L001_R1_001.fastq"
"serial-number",""
"antibody","none"
"temperature","37"
"carbon-source","glucose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic","none"
"machine","Miseq"
"library-prep-kit-manufacturer","Illumina"
"library-prep-kit","Nextera XT"
"library-prep-kit-cycles","600 Cycle"
"read-type","Paired-end reads"
"read-length","301"
"experiment-details",""
"Pre-culture-details",""
"Cultivation-details",""
"environment",""
"calcium-source","CaCl2(0.1)"
