"project","pyocyanin_supplemented_medium"
"carbon-source","glucose(3)"
"data-type","DNA-seq"
"taxonomy-id","511145"
"strain-description","WT"
"antibody","none"
"temperature","37"
"base-media","M63"
"isolate-type","clonal"
"supplement","C13H10N2O(0.168184)"
"nitrogen-source","(NH4)2SO4(2)"
"phosphorous-source","KH2PO4(13.6)"
"sulfur-source","(NH4)2SO4(2),MgSO4(0.12)"
"electron-acceptor","O2"
"antibiotic","none"
"ALE-number","3"
"Flask-number","50"
"Isolate-number","1"
"technical-replicate-number","1"
"machine","MiSeq"
"library-prep-kit-manufacturer","?"
"library-prep-kit","?"
"library-prep-kit-cycles","?"
"calcium-source","none"
