"read-length","301"
"read-type","Paired-end reads"
"strain-description","WT"
"run-date","2016-03-02"
"antibiotic","none"
"taxonomy-id","511145"
"nitrogen-source","NH4Cl(1)"
"library-prep-kit-cycles","600 Cycle"
"Sulfur-source","MgSO4(0.24)"
"machine","Miseq"
"base-media","M9"
"creator","Troy Sandberg"
"experiment-details","ALE flasks alternate substrates"
"electron-acceptor","O2"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"antibody","none"
"data-type","DNA-seq"
"creator-email","tsandberg@ucsd.edu"
"carbon-source","glucose(4) or acetate(4)"
"ALE-number","7"
"technical-replicate-number","1"
"Flask-number","90"
"project","SSW_GLU_AC"
"isolate-type","clonal"
"Isolate-number","1"
"supplement","NaCl(0.5g/L),trace elements"
"library-prep-kit-manufacturer","Illumina"
"library-prep-kit","KAPA HyperPlus"
"temperature","37"
"calcium-source","CaCl2(0.1)"
