"creator","Troy Sandberg"
"creator-email","tsandberg@ucsd.edu"
"project","SSW_GLU_XYL"
"data-type","DNA-seq"
"run-date","2016-03-02"
"taxonomy-id","511145"
"strain-description","WT"
"sample-time",""
"antibody",""
"temperature","37"
"base-media","M9"
"isolate-type","population"
"carbon-source","glucose(4) or xylose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"Sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic",""
"ALE-number","1"
"Flask-number","163"
"Isolate-number","0"
"technical-replicate-number","1"
"machine","Miseq"
"library-prep-kit-manufacturer","KAPA"
"library-prep-kit","KAPA HyperPlus"
"library-prep-kit-cycles","600 Cycle"
"read-type","Paired-end reads"
"read-length","300"
"experiment-details","ALE flasks alternate substrates. Post ALE enrichment with xylose(4)"
"calcium-source","CaCl2(0.1)"
