"creator","Troy Sandberg"
"creator-email","tsandberg@ucsd.edu"
"project","SSW_XYL"
"data-type","DNA-seq"
"run-date","2016-03-02"
"taxonomy-id","511145"
"strain-description","WT"
"sample-time","?"
"antibody","none"
"temperature","37"
"base-media","M9"
"isolate-type","population"
"carbon-source","xylose(4)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"Sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic","none"
"ALE-number","1"
"Flask-number","163"
"Isolate-number","0"
"technical-replicate-number","1"
"machine","MiSeq"
"library-prep-kit-manufacturer","Illumina"
"library-prep-kit","Nextera"
"library-prep-kit-cycles","600 Cycle"
"read-length","?"
"experiment-details","ALE flasks alternate substrates. Post ALE enrichment with xylose(4)"
"biological-replicates",""
"technical-replicates",""
"calcium-source","CaCl2(0.1)"
