mutated features,condition,odd ratio,p value
1.-.-.-,(NH4)2SO4(1),0.0,1.0
1.-.-.-,(NH4)2SO4(1) MgSO4,0.0,1.0
1.-.-.-,(NH4)2SO4(2),0.0,1.0
1.-.-.-,(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
1.-.-.-,2 3-butanediol,0.0,1.0
1.-.-.-,30 celsius,0.0,1.0
1.-.-.-,37 celsius,1.1017551048282457,0.26663819132462835
1.-.-.-,42 celsius,0.0,1.0
1.-.-.-,511145,1.0,0.5208655208485237
1.-.-.-,B. melitensis pgi,0.0,1.0
1.-.-.-,C13H10N2O(0.168184),0.0,1.0
1.-.-.-,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins,0.0,1.0
1.-.-.-,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins,0.0,1.0
1.-.-.-,CaCl2(0.1),0.866119154660342,0.8286316106151156
1.-.-.-,CaCl2(0.1mM),0.0,1.0
1.-.-.-,D-2-deoxyribose,0.0,1.0
1.-.-.-,D-arabinose,0.0,1.0
1.-.-.-,D-lyxose,0.0,1.0
1.-.-.-,E. coli K-12 MG1655 pCA24N-fucO,0.0,1.0
1.-.-.-,FeSO4(20uM) sodium citrate(10mM),0.0,1.0
1.-.-.-,GMOS,0.0,1.0
1.-.-.-,H. sapien pgi,0.0,1.0
1.-.-.-,H. sapien tpiA,0.0,1.0
1.-.-.-,JCL260,4.422459893048129,2.059429087124609e-06
1.-.-.-,K2HPO4(5.3) KH2PO4(2),0.0,1.0
1.-.-.-,KH2PO4(13.6),0.0,1.0
1.-.-.-,KH2PO4(3) Na2HPO4(6.78),0.0,1.0
1.-.-.-,KH2PO4(3) Na2HPO4(6.8),0.8678582827960422,0.8253901807650592
1.-.-.-,LB,3.002498215560314,1.6540303244033002e-15
1.-.-.-,M63,0.0,1.0
1.-.-.-,M9,0.866119154660342,0.8286316106151156
1.-.-.-,MS57,0.0,1.0
1.-.-.-,MgSO4(0.24),0.8678582827960422,0.8253901807650592
1.-.-.-,MgSO4(1mM),0.0,1.0
1.-.-.-,NH4Cl(1),0.7860926186889547,0.9417728382483695
1.-.-.-,NaCl(0.5g/L) trace elements,0.42401960784313725,0.9999630975739722
1.-.-.-,P. aerophilum pgi,0.0,1.0
1.-.-.-,P. aerophilum tpiA,1.8933597979068928,0.01467027133278941
1.-.-.-,PQ(0.8mM),0.0,1.0
1.-.-.-,U-13C glucose(2),0.0,1.0
1.-.-.-,V. cholerae pgi,0.0,1.0
1.-.-.-,V. cholerae tpiA,0.0,1.0
1.-.-.-,WT,0.7982173935973841,0.8820839410769457
1.-.-.-,acetate(4),0.0,1.0
1.-.-.-,adipic acid,0.0,1.0
1.-.-.-,bla-TEM-1,0.0,1.0
1.-.-.-,ceftazidime,0.0,1.0
1.-.-.-,chloramphenicol,0.0,1.0
1.-.-.-,chloramphenicol(25),0.0,1.0
1.-.-.-,coumaric acid,0.0,1.0
1.-.-.-,doxycycline,0.0,1.0
1.-.-.-,ethylene glycol(30mM),0.0,1.0
1.-.-.-,gentamycin(0.03),3.8980539584254754,9.376835449478496e-06
1.-.-.-,glucose(1),0.0,1.0
1.-.-.-,glucose(2),1.2399151255033396,0.1794053703293467
1.-.-.-,glucose(3),3.84944670937682,1.0870635789133352e-05
1.-.-.-,glucose(4),0.8645179691956646,0.7491604631351243
1.-.-.-,glucose(4) or acetate(4),0.0,1.0
1.-.-.-,glucose(4) or glycerol(2.5),0.0,1.0
1.-.-.-,glucose(4) or xylose(4),0.0,1.0
1.-.-.-,glucose-evolved BOP1000,0.0,1.0
1.-.-.-,glutaric acid,0.0,1.0
1.-.-.-,glycerol(2.5),0.0,1.0
1.-.-.-,glycine(2mM) L-Serine(varying) Wolfe's vitamin solution trace elements(X1),0.0,1.0
1.-.-.-,hexamethylenediamine,0.0,1.0
1.-.-.-,hexanoic acid,0.0,1.0
1.-.-.-,isobutanol(8g/L),4.422459893048129,2.059429087124609e-06
1.-.-.-,isobutyric acid,6.113871635610766,8.633432537510681e-05
1.-.-.-,m-tartrate,0.0,1.0
1.-.-.-,n-butanol,0.0,1.0
1.-.-.-,none,0.0,1.0
1.-.-.-,octanoic acid,0.0,1.0
1.-.-.-,pBGT,0.0,1.0
1.-.-.-,propanediol,0.0,1.0
1.-.-.-,putrescine,0.0,1.0
1.-.-.-,thiaminne hydrochloride(0.3µM) Ga(NO3)3(100mg/L),0.0,1.0
1.-.-.-,trimethoprim,0.0,1.0
1.-.-.-,xylose(4),0.0,1.0
1.-.-.-,Δgnd glucose M9 pre-evolved,0.0,1.0
1.-.-.-,Δpgi,0.0,1.0
1.-.-.-,Δpgi glucose M9 pre-evolved,0.0,1.0
1.-.-.-,ΔptsHI-crr glucose M9 pre-evolved,0.0,1.0
1.-.-.-,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
1.-.-.-,ΔsdhCDAB glucose M9 pre-evolved,0.0,1.0
1.-.-.-,ΔtpiA,0.0,1.0
1.-.-.-,ΔtpiA glucose M9 pre-evolved,0.0,1.0
1.1.1.1,(NH4)2SO4(1),0.0,1.0
1.1.1.1,(NH4)2SO4(1) MgSO4,0.0,1.0
1.1.1.1,(NH4)2SO4(2),0.0,1.0
1.1.1.1,(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
1.1.1.1,2 3-butanediol,0.0,1.0
1.1.1.1,30 celsius,0.0,1.0
1.1.1.1,37 celsius,1.1019012446997676,0.25226115962070855
1.1.1.1,42 celsius,0.0,1.0
1.1.1.1,511145,1.0,0.5197039830443168
1.1.1.1,B. melitensis pgi,0.0,1.0
1.1.1.1,C13H10N2O(0.168184),0.0,1.0
1.1.1.1,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins,0.0,1.0
1.1.1.1,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins,0.0,1.0
1.1.1.1,CaCl2(0.1),1.2565091114709435,0.05394372430084977
1.1.1.1,CaCl2(0.1mM),0.0,1.0
1.1.1.1,D-2-deoxyribose,1.9038142620232172,0.05456382193828229
1.1.1.1,D-arabinose,0.0,1.0
1.1.1.1,D-lyxose,0.0,1.0
1.1.1.1,E. coli K-12 MG1655 pCA24N-fucO,0.0,1.0
1.1.1.1,FeSO4(20uM) sodium citrate(10mM),0.0,1.0
1.1.1.1,GMOS,0.0,1.0
1.1.1.1,H. sapien pgi,0.0,1.0
1.1.1.1,H. sapien tpiA,0.0,1.0
1.1.1.1,JCL260,0.0,1.0
1.1.1.1,K2HPO4(5.3) KH2PO4(2),0.0,1.0
1.1.1.1,KH2PO4(13.6),0.0,1.0
1.1.1.1,KH2PO4(3) Na2HPO4(6.78),0.0,1.0
1.1.1.1,KH2PO4(3) Na2HPO4(6.8),1.2590446761941547,0.052408145988077914
1.1.1.1,LB,0.0,1.0
1.1.1.1,M63,0.0,1.0
1.1.1.1,M9,1.2565091114709435,0.05394372430084977
1.1.1.1,MS57,0.0,1.0
1.1.1.1,MgSO4(0.24),1.2590446761941547,0.052408145988077914
1.1.1.1,MgSO4(1mM),0.0,1.0
1.1.1.1,NH4Cl(1),1.1398880895283774,0.18052929117497973
1.1.1.1,NaCl(0.5g/L) trace elements,1.3657109420713869,0.02107618347786145
1.1.1.1,P. aerophilum pgi,0.0,1.0
1.1.1.1,P. aerophilum tpiA,1.8955574849866146,0.010071492946669737
1.1.1.1,PQ(0.8mM),0.0,1.0
1.1.1.1,U-13C glucose(2),0.0,1.0
1.1.1.1,V. cholerae pgi,0.0,1.0
1.1.1.1,V. cholerae tpiA,0.0,1.0
1.1.1.1,WT,1.3802064791740833,0.02739919858611293
1.1.1.1,acetate(4),0.0,1.0
1.1.1.1,adipic acid,0.0,1.0
1.1.1.1,bla-TEM-1,0.0,1.0
1.1.1.1,ceftazidime,0.0,1.0
1.1.1.1,chloramphenicol,0.0,1.0
1.1.1.1,chloramphenicol(25),0.0,1.0
1.1.1.1,coumaric acid,0.0,1.0
1.1.1.1,doxycycline,0.0,1.0
1.1.1.1,ethylene glycol(30mM),0.0,1.0
1.1.1.1,gentamycin(0.03),1.8849146855143857,0.05727826815261501
1.1.1.1,glucose(1),0.0,1.0
1.1.1.1,glucose(2),1.2403033376805295,0.16287861232894593
1.1.1.1,glucose(3),0.0,1.0
1.1.1.1,glucose(4),1.3229261271141424,0.09946588548171428
1.1.1.1,glucose(4) or acetate(4),0.0,1.0
1.1.1.1,glucose(4) or glycerol(2.5),0.0,1.0
1.1.1.1,glucose(4) or xylose(4),0.0,1.0
1.1.1.1,glucose-evolved BOP1000,0.0,1.0
1.1.1.1,glutaric acid,0.0,1.0
1.1.1.1,glycerol(2.5),0.0,1.0
1.1.1.1,glycine(2mM) L-Serine(varying) Wolfe's vitamin solution trace elements(X1),0.0,1.0
1.1.1.1,hexamethylenediamine,0.0,1.0
1.1.1.1,hexanoic acid,0.0,1.0
1.1.1.1,isobutanol(8g/L),0.0,1.0
1.1.1.1,isobutyric acid,0.0,1.0
1.1.1.1,m-tartrate,0.0,1.0
1.1.1.1,n-butanol,0.0,1.0
1.1.1.1,none,0.0,1.0
1.1.1.1,octanoic acid,0.0,1.0
1.1.1.1,pBGT,0.0,1.0
1.1.1.1,propanediol,0.0,1.0
1.1.1.1,putrescine,0.0,1.0
1.1.1.1,thiaminne hydrochloride(0.3µM) Ga(NO3)3(100mg/L),0.0,1.0
1.1.1.1,trimethoprim,0.0,1.0
1.1.1.1,xylose(4),0.0,1.0
1.1.1.1,Δgnd glucose M9 pre-evolved,0.0,1.0
1.1.1.1,Δpgi,0.0,1.0
1.1.1.1,Δpgi glucose M9 pre-evolved,0.0,1.0
1.1.1.1,ΔptsHI-crr glucose M9 pre-evolved,0.0,1.0
1.1.1.1,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
1.1.1.1,ΔsdhCDAB glucose M9 pre-evolved,0.0,1.0
1.1.1.1,ΔtpiA,0.0,1.0
1.1.1.1,ΔtpiA glucose M9 pre-evolved,0.0,1.0
