mutated features,condition,odd ratio,p value
C0299/umuD,2 3-butanediol,21.49226441631505,5.7327767595194636e-05
C0299/umuD,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
C0299/umuD,37 celsius,1.0591746031746032,0.5343248764718078
C0299/umuD,42 celsius,0.0,1.0
C0299/umuD,511145,1.0,0.57694974056915
C0299/umuD,CaCl2(0.1),1.0,0.57694974056915
C0299/umuD,D-2-deoxyribose,0.0,1.0
C0299/umuD,D-arabinose,0.0,1.0
C0299/umuD,D-lyxose,0.0,1.0
C0299/umuD,GMOS,0.0,1.0
C0299/umuD,KH2PO4(3) Na2HPO4(6.8),1.0,0.57694974056915
C0299/umuD,M9,1.0,0.57694974056915
C0299/umuD,MgSO4(0.24),1.0,0.57694974056915
C0299/umuD,NH4Cl(1),1.0,0.57694974056915
C0299/umuD,NaCl(0.5g/L) trace elements,0.0,1.0
C0299/umuD,U-13C glucose(2),0.0,1.0
C0299/umuD,WT,1.122326614738082,0.49164953632704156
C0299/umuD,acetate(4),0.0,1.0
C0299/umuD,adipic acid,0.0,1.0
C0299/umuD,coumaric acid,0.0,1.0
C0299/umuD,glucose(2),2.0160180953699856,0.15488730543409104
C0299/umuD,glucose(4),0.0,1.0
C0299/umuD,glucose(4) or acetate(4),0.0,1.0
C0299/umuD,glucose(4) or glycerol(2.5),0.0,1.0
C0299/umuD,glucose(4) or xylose(4),0.0,1.0
C0299/umuD,glutaric acid,0.0,1.0
C0299/umuD,glycerol(2.5),0.0,1.0
C0299/umuD,glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
C0299/umuD,hexamethylenediamine,0.0,1.0
C0299/umuD,hexanoic acid,0.0,1.0
C0299/umuD,isobutyric acid,0.0,1.0
C0299/umuD,m-tartrate,0.0,1.0
C0299/umuD,monomethyl succinate,0.0,1.0
C0299/umuD,n-butanol,0.0,1.0
C0299/umuD,octanoic acid,0.0,1.0
C0299/umuD,propanediol,0.0,1.0
C0299/umuD,putrescine,0.0,1.0
C0299/umuD,xylose(4),0.0,1.0
C0299/umuD,Δgnd,0.0,1.0
C0299/umuD,Δpgi,0.0,1.0
C0299/umuD,Δpts,0.0,1.0
C0299/umuD,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
C0299/umuD,Δsdh,0.0,1.0
C0299/umuD,Δtpi,0.0,1.0
C0343,2 3-butanediol,0.0,1.0
