mutated features,condition,odd ratio,p value
AllR/AraC/FucR,(NH4)2SO4(1),0.0,1.0
AllR/AraC/FucR,(NH4)2SO4(1) MgSO4,0.0,1.0
AllR/AraC/FucR,(NH4)2SO4(2),0.0,1.0
AllR/AraC/FucR,(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
AllR/AraC/FucR,2 3-butanediol,0.0,1.0
AllR/AraC/FucR,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
AllR/AraC/FucR,30 celsius,0.24805530036601656,0.9819510851031904
AllR/AraC/FucR,37 celsius,1.0049209769485228,0.4580212900618622
AllR/AraC/FucR,42 celsius,1.0128407250729425,0.5893655402596869
AllR/AraC/FucR,511145,1.0,0.5060109888508847
AllR/AraC/FucR,B. melitensis pgi,0.0,1.0
AllR/AraC/FucR,C13H10N2O(0.168184),0.0,1.0
AllR/AraC/FucR,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins(),0.0,1.0
AllR/AraC/FucR,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins(),0.0,1.0
AllR/AraC/FucR,CaCl2(0.1),0.40247013085982825,0.9999999984799693
AllR/AraC/FucR,CaCl2(0.1mM),0.7122147475798567,0.999999998843037
AllR/AraC/FucR,D-2-deoxyribose,0.0,1.0
AllR/AraC/FucR,D-arabinose,36.371725450021955,1.0454485938837142e-08
AllR/AraC/FucR,D-lyxose,0.0,1.0
AllR/AraC/FucR,E. coli K-12 MG1655 pCA24N-fucO,1.1979034271767128,0.5700814374880465
AllR/AraC/FucR,GMOS,0.0,1.0
AllR/AraC/FucR,H. sapien pgi,0.0,1.0
AllR/AraC/FucR,H. sapien tpiA,0.0,1.0
AllR/AraC/FucR,JCL260,3.2224552746552955,0.0002163604247505092
AllR/AraC/FucR,K2HPO4(5.3) KH2PO4(2),0.0,1.0
AllR/AraC/FucR,KH2PO4(13.6),0.0,1.0
AllR/AraC/FucR,KH2PO4(3) Na2HPO4(6.78),0.7122147475798567,0.999999998843037
AllR/AraC/FucR,KH2PO4(3) Na2HPO4(6.8),0.4060290673759309,0.9999999970848622
AllR/AraC/FucR,LB,15.63516358780397,0.0
AllR/AraC/FucR,M63,0.7115170443725005,0.9999999997909583
AllR/AraC/FucR,M9,0.40247013085982825,0.9999999984799693
AllR/AraC/FucR,MS57,0.7122147475798567,0.999999998843037
AllR/AraC/FucR,MgSO4(0.24),0.4060290673759309,0.9999999970848622
AllR/AraC/FucR,MgSO4(1mM),0.7122147475798567,0.999999998843037
