mutated features,condition,odd ratio,p value
C0362,2 3-butanediol,0.0,1.0
C0362,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
C0362,37 celsius,1.066398635477583,0.6288999262515975
C0362,42 celsius,0.0,1.0
C0362,511145,1.0,0.6513666486615568
C0362,CaCl2(0.1),1.0,0.6513666486615568
C0362,D-2-deoxyribose,11.921257391845627,0.08882499811419656
C0362,D-arabinose,0.0,1.0
C0362,D-lyxose,0.0,1.0
C0362,GMOS,0.0,1.0
C0362,KH2PO4(3) Na2HPO4(6.8),1.0,0.6513666486615568
C0362,M9,1.0,0.6513666486615568
C0362,MgSO4(0.24),1.0,0.6513666486615568
C0362,NH4Cl(1),1.0,0.6513666486615568
C0362,NaCl(0.5g/L) trace elements,2.0398931730929726,0.41173000269648397
C0362,U-13C glucose(2),0.0,1.0
C0362,WT,1.139778683750728,0.6055865105279281
C0362,acetate(4),0.0,1.0
C0362,adipic acid,0.0,1.0
C0362,coumaric acid,0.0,1.0
C0362,glucose(2),0.0,1.0
C0362,glucose(4),0.0,1.0
C0362,glucose(4) or acetate(4),0.0,1.0
C0362,glucose(4) or glycerol(2.5),0.0,1.0
C0362,glucose(4) or xylose(4),0.0,1.0
C0362,glutaric acid,0.0,1.0
C0362,glycerol(2.5),0.0,1.0
C0362,glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
C0362,hexamethylenediamine,0.0,1.0
C0362,hexanoic acid,0.0,1.0
C0362,isobutyric acid,0.0,1.0
C0362,m-tartrate,0.0,1.0
C0362,monomethyl succinate,0.0,1.0
C0362,n-butanol,0.0,1.0
C0362,octanoic acid,0.0,1.0
C0362,propanediol,0.0,1.0
C0362,putrescine,0.0,1.0
C0362,xylose(4),0.0,1.0
C0362,Δgnd,0.0,1.0
C0362,Δpgi,0.0,1.0
C0362,Δpts,0.0,1.0
C0362,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
C0362,Δsdh,0.0,1.0
C0362,Δtpi,0.0,1.0
aas-lplT,2 3-butanediol,0.0,1.0
aas-lplT,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
aas-lplT,37 celsius,1.0664168418487037,0.5752596615783344
aas-lplT,42 celsius,0.0,1.0
aas-lplT,511145,1.0,0.6083193917279448
aas-lplT,CaCl2(0.1),1.0,0.6083193917279448
aas-lplT,D-2-deoxyribose,0.0,1.0
aas-lplT,D-arabinose,0.0,1.0
aas-lplT,D-lyxose,0.0,1.0
aas-lplT,GMOS,0.0,1.0
aas-lplT,KH2PO4(3) Na2HPO4(6.8),1.0,0.6083193917279448
aas-lplT,M9,1.0,0.6083193917279448
aas-lplT,MgSO4(0.24),1.0,0.6083193917279448
aas-lplT,NH4Cl(1),1.0,0.6083193917279448
aas-lplT,NaCl(0.5g/L) trace elements,2.0404141616566465,0.27675553150238275
aas-lplT,U-13C glucose(2),0.0,1.0
