mutated features,condition,odd ratio,p value
"1,4-Dichlorobenzene degradation",2 3-butanediol,2.449185734900021,0.3395964439004142
"1,4-Dichlorobenzene degradation",20uM FeSO4 and 10mM sodium citrate,0.0,1.0
"1,4-Dichlorobenzene degradation",30 celsius,0.0,1.0
"1,4-Dichlorobenzene degradation",37 celsius,1.1733419465977606,0.3650805352200573
"1,4-Dichlorobenzene degradation",42 celsius,0.0,1.0
"1,4-Dichlorobenzene degradation",511145,1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",CaCl2(0.1),1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",D-2-deoxyribose,5.061387420433704,0.0003295039073085829
"1,4-Dichlorobenzene degradation",D-arabinose,0.0,1.0
"1,4-Dichlorobenzene degradation",D-lyxose,0.0,1.0
"1,4-Dichlorobenzene degradation",GMOS,0.0,1.0
"1,4-Dichlorobenzene degradation",KH2PO4(3) Na2HPO4(6.8),1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",M9,1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",MgSO4(0.24),1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",NH4Cl(1),1.0,0.5489580999670368
"1,4-Dichlorobenzene degradation",NaCl(0.5g/L) trace elements,1.325226975800301,0.2594970066436279
"1,4-Dichlorobenzene degradation",U-13C glucose(2),0.0,1.0
"1,4-Dichlorobenzene degradation",WT,1.2278338945005611,0.31768967228088646
"1,4-Dichlorobenzene degradation",acetate(4),0.0,1.0
"1,4-Dichlorobenzene degradation",adipic acid,0.0,1.0
"1,4-Dichlorobenzene degradation",coumaric acid,0.0,1.0
"1,4-Dichlorobenzene degradation",glucose(2),0.2930563496601232,0.9661481552665329
"1,4-Dichlorobenzene degradation",glucose(4),0.0,1.0
"1,4-Dichlorobenzene degradation",glucose(4) or acetate(4),0.0,1.0
"1,4-Dichlorobenzene degradation",glucose(4) or glycerol(2.5),0.0,1.0
"1,4-Dichlorobenzene degradation",glucose(4) or xylose(4),2.5004208754208754,0.33402638059480805
"1,4-Dichlorobenzene degradation",glutaric acid,0.0,1.0
"1,4-Dichlorobenzene degradation",glycerol(2.5),0.0,1.0
"1,4-Dichlorobenzene degradation",glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
"1,4-Dichlorobenzene degradation",hexamethylenediamine,0.0,1.0
"1,4-Dichlorobenzene degradation",hexanoic acid,0.0,1.0
"1,4-Dichlorobenzene degradation",isobutyric acid,0.0,1.0
"1,4-Dichlorobenzene degradation",m-tartrate,0.0,1.0
"1,4-Dichlorobenzene degradation",n-butanol,0.0,1.0
"1,4-Dichlorobenzene degradation",octanoic acid,0.0,1.0
"1,4-Dichlorobenzene degradation",propanediol,0.0,1.0
"1,4-Dichlorobenzene degradation",putrescine,0.0,1.0
"1,4-Dichlorobenzene degradation",xylose(4),0.0,1.0
"1,4-Dichlorobenzene degradation",Δgnd,0.0,1.0
"1,4-Dichlorobenzene degradation",Δpgi,0.0,1.0
"1,4-Dichlorobenzene degradation",Δpts,0.0,1.0
"1,4-Dichlorobenzene degradation",ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
"1,4-Dichlorobenzene degradation",Δsdh,0.0,1.0
"1,4-Dichlorobenzene degradation",Δtpi,0.0,1.0
1- and 2-Methylnaphthalene degradation,2 3-butanediol,0.0,1.0
1- and 2-Methylnaphthalene degradation,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
1- and 2-Methylnaphthalene degradation,30 celsius,0.0,1.0
1- and 2-Methylnaphthalene degradation,37 celsius,1.172589376641475,0.5956862649431143
1- and 2-Methylnaphthalene degradation,42 celsius,0.0,1.0
1- and 2-Methylnaphthalene degradation,511145,1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,CaCl2(0.1),1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,D-2-deoxyribose,0.0,1.0
1- and 2-Methylnaphthalene degradation,D-arabinose,0.0,1.0
1- and 2-Methylnaphthalene degradation,D-lyxose,0.0,1.0
1- and 2-Methylnaphthalene degradation,GMOS,0.0,1.0
1- and 2-Methylnaphthalene degradation,KH2PO4(3) Na2HPO4(6.8),1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,M9,1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,MgSO4(0.24),1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,NH4Cl(1),1.0,0.6513943352247629
1- and 2-Methylnaphthalene degradation,NaCl(0.5g/L) trace elements,0.0,1.0
1- and 2-Methylnaphthalene degradation,U-13C glucose(2),0.0,1.0
