mutated features,condition,odd ratio,p value
AcrR,(NH4)2SO4(1),0.0,1.0
AcrR,(NH4)2SO4(1) MgSO4,0.0,1.0
AcrR,(NH4)2SO4(2),3.4591036042026864,0.11825051192080568
AcrR,(NH4)2SO4(2) MgSO4(0.12),3.4591036042026864,0.11825051192080568
AcrR,2 3-butanediol,0.9399609384418779,0.6564369513023084
AcrR,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
AcrR,30 celsius,8.405115818159297,4.427302734763678e-20
AcrR,37 celsius,0.4615251992866055,0.9999964375829067
AcrR,42 celsius,0.0,1.0
AcrR,511145,1.0,0.5197692987712559
AcrR,B. melitensis pgi,0.0,1.0
AcrR,C13H10N2O(0.168184),0.0,1.0
AcrR,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins(),7.007898043439239,0.13951058920909687
AcrR,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins(),12.615508885298869,0.08330888080839008
AcrR,CaCl2(0.1),1.4306989477850711,0.01102548784730618
AcrR,CaCl2(0.1mM),0.0,1.0
AcrR,D-2-deoxyribose,0.0,1.0
AcrR,D-arabinose,0.0,1.0
AcrR,D-lyxose,0.0,1.0
AcrR,E. coli K-12 MG1655 pCA24N-fucO,6.119987452292571,0.014800447351120282
AcrR,GMOS,0.0,1.0
AcrR,H. sapien pgi,0.0,1.0
AcrR,H. sapien tpiA,0.0,1.0
AcrR,JCL260,0.0,1.0
AcrR,K2HPO4(5.3) KH2PO4(2),0.0,1.0
AcrR,KH2PO4(13.6),3.4591036042026864,0.11825051192080568
AcrR,KH2PO4(3) Na2HPO4(6.78),0.0,1.0
AcrR,KH2PO4(3) Na2HPO4(6.8),1.444433518403655,0.009416402196768314
AcrR,LB,0.813994061836232,0.9276936666037578
AcrR,M63,0.1314923303040967,0.9999951700264769
AcrR,M9,1.4306989477850711,0.01102548784730618
AcrR,MS57,0.0,1.0
AcrR,MgSO4(0.24),1.444433518403655,0.009416402196768314
AcrR,MgSO4(1mM),0.0,1.0
AcrR,NH4Cl(1),1.0156046218469068,0.47874546155849607
AcrR,NaCl(0.5g/L) trace elements,0.18999073079365922,0.9999999990203278
AcrR,P. aerophilum pgi,0.0,1.0
AcrR,P. aerophilum tpiA,0.0,1.0
AcrR,PQ(0.8mM),0.0,1.0
AcrR,U-13C glucose(2),0.0,1.0
AcrR,V. cholerae pgi,0.0,1.0
AcrR,V. cholerae tpiA,0.0,1.0
AcrR,WT,1.8094943390037066,0.00012163525349655286
AcrR,acetate(4),0.0,1.0
AcrR,adipic acid,0.0,1.0
AcrR,bla-TEM-1,11.519480519480519,0.0005633847853398163
AcrR,ceftazidime,1.5672919322527772,0.14793387696238902
AcrR,chloramphenicol,20.25659005323984,2.009222117243808e-15
AcrR,chloramphenicol(25),6.119987452292571,0.014800447351120282
AcrR,coumaric acid,0.0,1.0
AcrR,doxycycline,22.320080091533182,2.2125032603583276e-12
AcrR,ethylene glycol(30mM),6.119987452292571,0.014800447351120282
AcrR,gentamycin(0.03),0.928963784751854,0.6256735803088707
AcrR,glucose(1),0.0,1.0
AcrR,glucose(2),0.33504729844982745,0.9999951521614187
AcrR,glucose(3),0.5845563332580718,0.8552531640014895
AcrR,glucose(4),2.899231663549512,7.681929373479309e-08
AcrR,glucose(4) or acetate(4),0.0,1.0
AcrR,glucose(4) or glycerol(2.5),0.0,1.0
AcrR,glucose(4) or xylose(4),0.0,1.0
AcrR,glucose-evolved BOP1000,0.0,1.0
AcrR,glutaric acid,0.0,1.0
AcrR,glycerol(2.5),0.544580352334795,0.8407336034850295
AcrR,glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
AcrR,hexamethylenediamine,0.0,1.0
AcrR,hexanoic acid,5.331852358168148,0.007958925338236892
AcrR,isobutanol(8g/L),0.0,1.0
AcrR,isobutyric acid,0.0,1.0
AcrR,m-tartrate,0.0,1.0
AcrR,n-butanol,0.0,1.0
AcrR,none,3.4591036042026864,0.11825051192080568
AcrR,octanoic acid,0.0,1.0
AcrR,pBGT,0.0,1.0
AcrR,propanediol,0.0,1.0
AcrR,putrescine,0.0,1.0
AcrR,thiaminne hydrochloride(0.3µM) Ga(NO3)3(100mg/L),0.0,1.0
AcrR,trimethoprim,7.589951377633711,0.008506198742079694
AcrR,xylose(4),3.2335445921875645,0.27120771693906615
AcrR,Δgnd glucose M9 pre-evolved,0.0,1.0
AcrR,Δpgi,0.0,1.0
AcrR,Δpgi glucose M9 pre-evolved,2.749717673630717,0.06227876215045204
AcrR,ΔptsHI-crr glucose M9 pre-evolved,0.0,1.0
AcrR,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
AcrR,ΔsdhCDAB glucose M9 pre-evolved,0.0,1.0
AcrR,ΔtpiA,0.0,1.0
AcrR,ΔtpiA glucose M9 pre-evolved,0.0,1.0
Ada,(NH4)2SO4(1),0.0,1.0
Ada,(NH4)2SO4(1) MgSO4,0.0,1.0
Ada,(NH4)2SO4(2),0.0,1.0
Ada,(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
Ada,2 3-butanediol,0.0,1.0
Ada,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
Ada,30 celsius,7.015807436680438,0.13904508092626855
Ada,37 celsius,0.5358192326960319,0.8464834306390823
Ada,42 celsius,0.0,1.0
Ada,511145,1.0,0.6082856105952799
Ada,B. melitensis pgi,0.0,1.0
Ada,C13H10N2O(0.168184),0.0,1.0
Ada,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins(),0.0,1.0
Ada,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins(),0.0,1.0
Ada,CaCl2(0.1),1.730987992416263,0.3420047157953477
Ada,CaCl2(0.1mM),0.0,1.0
Ada,D-2-deoxyribose,0.0,1.0
Ada,D-arabinose,0.0,1.0
Ada,D-lyxose,0.0,1.0
Ada,E. coli K-12 MG1655 pCA24N-fucO,0.0,1.0
Ada,GMOS,0.0,1.0
Ada,H. sapien pgi,0.0,1.0
Ada,H. sapien tpiA,0.0,1.0
Ada,JCL260,0.0,1.0
Ada,K2HPO4(5.3) KH2PO4(2),0.0,1.0
Ada,KH2PO4(13.6),0.0,1.0
Ada,KH2PO4(3) Na2HPO4(6.78),0.0,1.0
Ada,KH2PO4(3) Na2HPO4(6.8),1.7474318101310662,0.33801093353385436
Ada,LB,0.0,1.0
Ada,M63,0.0,1.0
Ada,M9,1.730987992416263,0.3420047157953477
Ada,MS57,0.0,1.0
Ada,MgSO4(0.24),1.7474318101310662,0.33801093353385436
Ada,MgSO4(1mM),0.0,1.0
Ada,NH4Cl(1),1.2325343167383733,0.5012776716633378
Ada,NaCl(0.5g/L) trace elements,1.8614682808231195,0.31203677136654073
Ada,P. aerophilum pgi,0.0,1.0
Ada,P. aerophilum tpiA,0.0,1.0
Ada,PQ(0.8mM),0.0,1.0
Ada,U-13C glucose(2),0.0,1.0
Ada,V. cholerae pgi,0.0,1.0
Ada,V. cholerae tpiA,0.0,1.0
Ada,WT,2.2301056076156476,0.24511127797227766
Ada,acetate(4),0.0,1.0
Ada,adipic acid,0.0,1.0
Ada,bla-TEM-1,0.0,1.0
Ada,ceftazidime,0.0,1.0
Ada,chloramphenicol,0.0,1.0
Ada,chloramphenicol(25),0.0,1.0
Ada,coumaric acid,0.0,1.0
Ada,doxycycline,0.0,1.0
Ada,ethylene glycol(30mM),0.0,1.0
Ada,gentamycin(0.03),0.0,1.0
Ada,glucose(1),0.0,1.0
Ada,glucose(2),0.9816019449372495,0.6482113366966695
Ada,glucose(3),0.0,1.0
Ada,glucose(4),0.0,1.0
Ada,glucose(4) or acetate(4),0.0,1.0
Ada,glucose(4) or glycerol(2.5),0.0,1.0
Ada,glucose(4) or xylose(4),0.0,1.0
Ada,glucose-evolved BOP1000,0.0,1.0
Ada,glutaric acid,0.0,1.0
Ada,glycerol(2.5),17.878560036454772,0.05732834900170138
Ada,glycine(2mM)  L-Serine(varying concentration)  trace elements(X1)  Wolfe's vitamin solution.,0.0,1.0
Ada,hexamethylenediamine,0.0,1.0
Ada,hexanoic acid,0.0,1.0
Ada,isobutanol(8g/L),0.0,1.0
Ada,isobutyric acid,0.0,1.0
Ada,m-tartrate,0.0,1.0
Ada,n-butanol,0.0,1.0
Ada,none,0.0,1.0
Ada,octanoic acid,0.0,1.0
Ada,pBGT,0.0,1.0
Ada,propanediol,0.0,1.0
Ada,putrescine,0.0,1.0
Ada,thiaminne hydrochloride(0.3µM) Ga(NO3)3(100mg/L),0.0,1.0
Ada,trimethoprim,0.0,1.0
Ada,xylose(4),0.0,1.0
Ada,Δgnd glucose M9 pre-evolved,0.0,1.0
Ada,Δpgi,0.0,1.0
Ada,Δpgi glucose M9 pre-evolved,0.0,1.0
Ada,ΔptsHI-crr glucose M9 pre-evolved,0.0,1.0
Ada,ΔsdaA ΔsdaB ΔtdcG ΔglyA,0.0,1.0
Ada,ΔsdhCDAB glucose M9 pre-evolved,0.0,1.0
Ada,ΔtpiA,0.0,1.0
Ada,ΔtpiA glucose M9 pre-evolved,0.0,1.0
AdiY,(NH4)2SO4(1),0.0,1.0
AdiY,(NH4)2SO4(1) MgSO4,0.0,1.0
AdiY,(NH4)2SO4(2),0.0,1.0
AdiY,(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
AdiY,2 3-butanediol,0.0,1.0
AdiY,20uM FeSO4 and 10mM sodium citrate,0.0,1.0
AdiY,30 celsius,0.0,1.0
AdiY,37 celsius,0.9545066818311061,0.6043301233118482
AdiY,42 celsius,4.65704442860537,0.19611281419930804
AdiY,511145,1.0,0.5582531157073581
AdiY,B. melitensis pgi,0.0,1.0
AdiY,C13H10N2O(0.168184),0.0,1.0
AdiY,C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins(),0.0,1.0
AdiY,C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins(),0.0,1.0
AdiY,CaCl2(0.1),1.4608436116382038,0.24646443349095326
AdiY,CaCl2(0.1mM),0.6180572310958838,0.8026236484687294
AdiY,D-2-deoxyribose,0.0,1.0
AdiY,D-arabinose,0.0,1.0
AdiY,D-lyxose,0.0,1.0
AdiY,E. coli K-12 MG1655 pCA24N-fucO,0.0,1.0
AdiY,GMOS,0.0,1.0
AdiY,H. sapien pgi,0.0,1.0
AdiY,H. sapien tpiA,0.0,1.0
AdiY,JCL260,0.0,1.0
AdiY,K2HPO4(5.3) KH2PO4(2),0.0,1.0
AdiY,KH2PO4(13.6),0.0,1.0
AdiY,KH2PO4(3) Na2HPO4(6.78),0.6180572310958838,0.8026236484687294
AdiY,KH2PO4(3) Na2HPO4(6.8),1.4747327696234844,0.2402348233952977
AdiY,LB,0.0,1.0
AdiY,M63,0.5927821917490909,0.8156579562274513
AdiY,M9,1.4608436116382038,0.24646443349095326
AdiY,MS57,0.6180572310958838,0.8026236484687294
AdiY,MgSO4(0.24),1.4747327696234844,0.2402348233952977
AdiY,MgSO4(1mM),0.6180572310958838,0.8026236484687294
AdiY,NH4Cl(1),1.2327131067712338,0.3582127865645764
AdiY,NaCl(0.5g/L) trace elements,1.0151480957168162,0.5609720570373375
AdiY,P. aerophilum pgi,0.0,1.0
AdiY,P. aerophilum tpiA,0.0,1.0
AdiY,PQ(0.8mM),0.0,1.0
AdiY,U-13C glucose(2),0.0,1.0
AdiY,V. cholerae pgi,0.0,1.0
AdiY,V. cholerae tpiA,0.0,1.0
AdiY,WT,1.8825130662020906,0.11480111926528233
AdiY,acetate(4),0.0,1.0
AdiY,adipic acid,0.0,1.0
AdiY,bla-TEM-1,0.0,1.0
AdiY,ceftazidime,0.0,1.0
