"creator","Richard Lenski"
"creator-email","lenski@msu.edu"
"project","LTEE"
"data-type","DNA-seq"
"run-date","1988-02-24"
"taxonomy-id","413997"
"strain-description","REL606"
"base-media","DM"
"isolate-type","clonal"
"ALE-number","1"
"Flask-number","10000"
"Isolate-number","1"
"technical-replicate-number","1"
"read-files","none"
"serial-number",""
"sample-time","?"
"antibody","none"
"temperature","37"
"carbon-source","glucose(0.025)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3)"
"sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","trace elements"
"antibiotic","none"
"machine",""
"library-prep-kit-manufacturer",""
"library-prep-kit",""
"library-prep-kit-cycles",""
"read-type",""
"read-length",""
"experiment-details","none"
"environment",""
"biological-replicates",""
"technical-replicates","1"
