Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Mut ID,Details,pyocyanin_supplemented_medium A1 F19 I1 R1,pyocyanin_supplemented_medium A2 F19 I1 R1,pyocyanin_supplemented_medium A2 F19 I2 R1,pyocyanin_supplemented_medium A3 F19 I3 R1
NC_000913,"4,114,456",SNP,G→A,fpr,,ferredoxin-NADP reductase; flavodoxin reductase,,,90624,T6I (ACA→ATA),1.00,,,
NC_000913,"2,312,212",INS,+TC,ompC,,outer membrane porin protein C,,,90625,coding (538/1104 nt),,1.00,,
NC_000913,"1,197,502",SNP,C→T,ymfD,,e14 prophage; putative SAM-dependent methyltransferase,,,85186,G11R (GGA→AGA),1.00,1.00,1.00,1.00
NC_000913,"3,311,380",MOB,IS4 (+) +12 bp,psrO,,"novel sRNA, function unknown",,,90627,noncoding (156‑167/174 nt),,,1.00,
NC_000913,"264,098",SNP,G→T,ykfH,,uncharacterized protein,,,90604,L50L (CTC→CTA),1.00,1.00,1.00,1.00
NC_000913,"2,679,525",SNP,G→T,yphG,,DUF4380 domain-containing TPR repeat protein,,,90605,A1074D (GCT→GAT),1.00,1.00,1.00,1.00
NC_000913,"3,413,571",SNP,T→C,"acrS, acrE",,acrAB operon transcriptional repressor/cytoplasmic membrane lipoprotein,,,90607,intergenic (‑106/‑293),1.00,1.00,1.00,1.00
NC_000913,"4,114,469",SNP,C→A,fpr,,ferredoxin-NADP reductase; flavodoxin reductase,,,90626,A2S (GCT→TCT),,1.00,,
NC_000913,"2,173,363",DEL,Δ2 bp,"gatC, gatC",,"pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC/pseudogene, galactitol-specific enzyme IIC component of PTS;transport; Transport of small molecules: Carbohydrates, organic acids, alcohols; PTS system galactitol-specific enzyme IIC",,,37939,intergenic (‑1/+1),1.00,1.00,1.00,1.00
NC_000913,"257,908",DEL,Δ776 bp,[crl],,[crl],,,26102,,1.00,1.00,1.00,1.00
NC_000913,"3,560,455",INS,+G,"glpR, glpR",,"pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon/pseudogene, DNA-binding transcriptional repressor;regulator; Energy metabolism, carbon: Anaerobic respiration; repressor of the glp operon",,,37945,intergenic (‑2/+1),1.00,1.00,1.00,1.00
NC_000913,"1,978,503",DEL,Δ776 bp,"insB1,insA",,"insB1,insA",,,83866,,1.00,1.00,1.00,1.00
NC_000913,"1,299,499",DEL,"Δ1,199 bp","ychE, oppA",,UPF0056 family inner membrane protein/oligopeptide ABC transporter periplasmic binding protein,,,26191,intergenic (+254/‑485),1.00,1.00,,1.00
NC_000913,"1,756,796",SNP,G→T,pykF,,pyruvate kinase I,,,90620,E367* (GAA→TAA),,,1.00,1.00
NC_000913,"1,757,387",SNP,C→G,"pykF, lpp",,pyruvate kinase I/murein lipoprotein,,,90621,intergenic (+277/‑34),,,1.00,1.00
NC_000913,"2,312,590",SNP,G→A,ompC,,outer membrane porin protein C,,,90622,Q54* (CAG→TAG),1.00,,1.00,1.00
NC_000913,"4,114,419",SNP,G→A,fpr,,ferredoxin-NADP reductase; flavodoxin reductase,,,90623,A18A (GCC→GCT),1.00,,1.00,1.00
