mutated features,condition,odd ratio,p value
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",(NH4)2SO4(1),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",(NH4)2SO4(1) MgSO4,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",(NH4)2SO4(2),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",(NH4)2SO4(2) MgSO4(0.12),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",2 3-butanediol,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",30 celsius,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",37 celsius,1.0367464553676538,0.4785716509073394
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",42 celsius,2.8333333333333335,0.300499964727017
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",511145,1.0,0.5355086771504044
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",B. melitensis pgi,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",C13H10N2O(0.168184),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",C6H5FeO7(0.00049) casamino(5) WT P. aeruginosa toxins,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",C6H5FeO7(0.00049) casamino(5) pvdJ KO P. aeruginosa toxins,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",CaCl2(0.1),1.2539246367961734,0.207068260271949
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",CaCl2(0.1mM),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",D-2-deoxyribose,5.8077604777356635,0.00011688761890282209
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",D-arabinose,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",D-lyxose,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",E. coli K-12 MG1655 pCA24N-fucO,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",FeSO4(20uM) sodium citrate(10mM),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",GMOS,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",H. sapien pgi,4.888888888888889,0.1883535067159935
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",H. sapien tpiA,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",JCL260,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",K2HPO4(5.3) KH2PO4(2),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",KH2PO4(13.6),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",KH2PO4(3) Na2HPO4(6.78),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",KH2PO4(3) Na2HPO4(6.8),1.256429864138054,0.20486103937585148
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",LB,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",M63,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",M9,1.2539246367961734,0.207068260271949
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",MS57,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",MgSO4(0.24),1.256429864138054,0.20486103937585148
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",MgSO4(1mM),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",NH4Cl(1),1.1385977172140693,0.3309985110905309
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",NaCl(0.5g/L) trace elements,1.615246001866332,0.03861193307116674
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",P. aerophilum pgi,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",P. aerophilum tpiA,3.1956285034479976,0.0029495933599927877
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",PQ(0.8mM),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",U-13C glucose(2),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",V. cholerae pgi,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",V. cholerae tpiA,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",WT,0.8879491984580877,0.6818813318749136
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",acetate(4),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",adipic acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",bla-TEM-1,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",ceftazidime,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",chloramphenicol,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",chloramphenicol(25),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",coumaric acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",doxycycline,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",ethylene glycol(30mM),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",gentamycin(0.03),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(1),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(2),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(3),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(4),1.8139327956476696,0.050158961545513775
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(4) or acetate(4),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(4) or glycerol(2.5),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose(4) or xylose(4),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glucose-evolved BOP1000,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glutaric acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glycerol(2.5),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",glycine(2mM) L-Serine(varying) Wolfe's vitamin solution trace elements(X1),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",hexamethylenediamine,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",hexanoic acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",isobutanol(8g/L),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",isobutyric acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",m-tartrate,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",n-butanol,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",none,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",octanoic acid,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",pBGT,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",propanediol,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",putrescine,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",thiaminne hydrochloride(0.3µM) Ga(NO3)3(100mg/L),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",trimethoprim,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",xylose(4),0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",Δgnd glucose M9 pre-evolved,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",Δpgi,0.0,1.0
"1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)",Δpgi glucose M9 pre-evolved,0.0,1.0
