Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Mut ID,Details,BOP1000_acnB A0 F0 I1 R1,BOP1000_acnB A1 F8 I1 R1,BOP1000_acnB A1 F18 I1 R1,BOP1000_acnB A1 F42 I0 R1,BOP1000_acnB A1 F42 I1 R1,BOP1000_acnB A2 F9 I1 R1,BOP1000_acnB A2 F20 I1 R1,BOP1000_acnB A2 F45 I0 R1,BOP1000_acnB A2 F45 I1 R1,BOP1000_acnB A3 F8 I1 R1,BOP1000_acnB A3 F17 I1 R1,BOP1000_acnB A3 F42 I0 R1,BOP1000_acnB A3 F42 I1 R1,BOP1000_acnB A4 F9 I1 R1,BOP1000_acnB A4 F20 I1 R1,BOP1000_acnB A4 F45 I0 R1,BOP1000_acnB A4 F45 I1 R1
NC_000913,"4,545,942",MOB,IS1 (+) +9 bp,fimD,,fimbrial usher outer membrane porin protein; FimCD chaperone-usher,,,1568386,coding (847‑855/2637 nt),,,,,,,,0.21,,,,,,,,,
NC_000913,"3,172,535",SNP,C→T,mdaB,,NADPH quinone reductase,,,1568388,S2S (AGC→AGT),,,,,,,,,,,,,,1.00,,,
NC_000913,"1,299,499",DEL,"Δ1,199 bp","ychE, oppA",,UPF0056 family inner membrane protein/oligopeptide ABC transporter periplasmic binding protein,,,612037,intergenic (+254/‑485),,,,1.00,,1.00,1.00,1.00,,1.00,1.00,,,1.00,1.00,1.00,
NC_000913,"4,296,380",INS,+CG,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,1103622,intergenic (+586/+56),,,,1.00,,,,1.00,,,,1.00,,,,1.00,
NC_000913,"2,819,278",MOB,IS5 (+) +4 bp,"csrA, alaS",,pleiotropic regulatory protein for carbon source metabolism/alanyl-tRNA synthetase,,,1568204,intergenic (‑132/+100),,1.00,,,,,,,,,,,,,,,
NC_000913,"695,570",DEL,Δ1 bp,ubiF,,"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol oxygenase",,,1568205,coding (470/1176 nt),,,,,,,,,,1.00,,,,,,,
NC_000913,"1,335,370",DEL,Δ384 bp,[yciX],,[yciX],,,1568206,,,,,,,,,,,,1.00,,,,,,
NC_000913,"1,708,854",SNP,C→G,rsxC,,SoxR iron-sulfur cluster reduction factor component; putative membrane-associated NADH oxidoreductase of electron transport complex,,,814237,Q646E (CAA→GAA),,,,,,,,,,,,,,,,0.22,
NC_000913,"1,335,762",MOB,IS5 (–) +4 bp,"yciX, acnA",,uncharacterized protein/aconitate hydratase 1; aconitase A,,,1566743,intergenic (+304/‑66),,,,1.00,,,,1.00,,,,,1.00,1.00,1.00,,1.00
NC_000913,"1,979,486",MOB,IS5 (+) +4 bp,"insA, uspC",,IS1 repressor TnpA/universal stress protein,,,673244,intergenic (‑271/‑264),1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
