"creator","Ryan LaCroix"
"creator-email","noslenkwah@gmail.com"
"project","GYD"
"data-type","DNA-seq"
"run-date","2015-06-03"
"organism","eco"
"strain-description","WT"
"antibody",""
"base-media","M9"
"carbon-source","glycerol(2.5)"
"nitrogen-source","NH4Cl(1)"
"phosphorous-source","KH2PO4(3),Na2HPO4(6.8)"
"Sulfur-source","MgSO4(0.24)"
"electron-acceptor","O2"
"supplement","NaCl(0.5g/L),trace elements"
"antibiotic-resistance",""
"biological-replicates","1"
"technical-replicates","1"
"machine","MiSeq"
"illumina-kit","300 Cycle"
"read-type","Single-end reads"
"read-length","301"
"expertiment-details",""
"taxonomy-id","511145"
"temperature","30"
"calcium-source","CaCl2(0.1)"
