"creator","Jeffery Barrick"
"creator-email","jeffrey.e.barrick@gmail.com"
"project","TEE"
"data-type","DNA-seq"
"run-date","2016-09-27"
"taxonomy-id","413997"
"strain-description","REL7000"
"base-media","DM25"
"isolate-type","clonal"
"ALE-number","1"
"Flask-number","1"
"Isolate-number","1"
"technical-replicate-number","1"
"sample-time","none"
"Link-to-reference-sequence","https://raw.githubusercontent.com/barricklab/LTEE-Ecoli/master/reference/REL606.gbk"
"read-files","SRR396876.fq"
"serial-number",""
"antibody","none"
"temperature","37"
"carbon-source","glucose(0.025)"
"nitrogen-source","NH4Cl"
"phosphorous-source","KH2PO4"
"sulfur-source","MgSO4"
"electron-acceptor","O2"
"supplement",""
"antibiotic",""
"machine",""
"library-prep-kit-manufacturer",""
"library-prep-kit",""
"library-prep-kit-cycles",""
"read-type",""
"read-length",""
"experiment-details",""
"Pre-culture-details",""
"Cultivation-details",""
"environment",""
"genome-reference-file",""
"archive-link",""
