Reference Seq,Position,Mutation Type,Sequence Change,Gene,Function,Product,GO Process,GO Component,Details,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F9 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F48 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F78 I0 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A1 F78 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F6 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F27 I1 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F70 I0 R1,MG1655-M9-NC_000913_3gb-stationary-37-D-arabinose2 A2 F70 I1 R1
NC_000913,2939592,SNP,C→A,fucR,,l-fucose operon activator,,,S75R (AGC→AGA),,,0.81,1,,1,1,1
NC_000913,4296380,INS,+CG,"gltP, yjcO",,glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein,,,intergenic (+586/+56),,,1,,,,1,
NC_000913,257908,DEL,Δ776 bp,[crl],,[crl],,,,1,1,1,1,1,1,1,1
NC_000913,2940099,SNP,A→C,fucR,,l-fucose operon activator,,,*244C (TGA→TGC),,,,,1,1,1,1
NC_000913,3541500,SNP,C→T,feoB,,ferrous iron transporter protein B and GTP-binding protein; membrane protein,,,S365F (TCC→TTC),,,0.3,,,,,
NC_000913,3049512,DEL,Δ1 bp,gcvH,,glycine cleavage complex lipoylprotein,,,coding (38/390 nt),,,,,,,,1
NC_000913,1299499,DEL,"Δ1,199 bp","ychE, oppA",,UPF0056 family inner membrane protein/oligopeptide ABC transporter periplasmic binding protein,,,intergenic (+254/‑485),,,,,,1,,
NC_000913,4215883,SNP,C→T,aceB,,malate synthase A,,,L136L (CTG→TTG),,,0.29,,,,,
NC_000913,3967560,SNP,A→T,rho,,transcription termination factor,,,I382F (ATC→TTC),,,,,1,1,1,1
NC_000913,1978503,DEL,Δ776 bp,"insB1,insA",,"insB1,insA",,,,1,,1,,1,,1,
NC_000913,70852,SNP,C→A,araC,,ara regulon transcriptional activator; autorepressor,,,L156I (CTT→ATT),,,,,,,0.87,1
NC_000913,1529218,SNP,C→T,rhsE,,"pseudogene, Rhs family",,,pseudogene (1317/2037 nt),,,,,1,1,1,1
NC_000913,924050,SNP,T→G,clpA,,"ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity",,,F263V (TTT→GTT),1,1,0.28,,,,,
NC_000913,2939611,SNP,G→T,fucR,,l-fucose operon activator,,,D82Y (GAT→TAT),1,1,,,,,,
