"Position","Mutation Type","Sequence Change","Gene","Function","Product","GO Process","GO Component","Details","SSW GLU GLY A6 F162 I1 R1","SSW GLU GLY A5 F160 I0 R2","SSW GLU GLY A5 F160 I1 R1","SSW GLU GLY A6 F162 I0 R2","SSW GLU GLY A6 F162 I2 R1","SSW GLU GLY A5 F160 I2 R1","SSW GLU GLY A4 F165 I2 R1","SSW GLU GLY A5 F160 I3 R1","SSW GLU GLY A4 F165 I0 R1","SSW GLU GLY A5 F160 I0 R1","SSW GLU GLY A4 F165 I0 R2","SSW GLU GLY A6 F162 I0 R1","SSW GLU GLY A4 F165 I1 R1"
"388,531","SNP","C→G","tauD","","taurine dioxygenase, 2-oxoglutarate-dependent","","","A246G (GCG→GGG)","","","","","","","1.00","","","","","",""
"444,755","SNP","G→T","yajQ","","phage Phi6 host factor, ATP/GTP binding protein","","","E25* (GAA→TAA)","","","","","","","1.00","","0.55","","0.60","",""
"572,356","MOB","IS2 (–) +5 bp","ybcM, ylcH","","DLP12 prophage, putative DNA-binding transcriptional regulator/uncharacterized protein, DLP12 prophage","","","intergenic (+105/‑8)","","","","","","","1.00","","0.69","","0.54","",""
"1,299,499","DEL","Δ1,199 bp","ychE, oppA","","UPF0056 family inner membrane protein/oligopeptide ABC transporter periplasmic binding protein","","","intergenic (+254/‑485)","","","","","1.00","","1.00","","","","1.00","1.00","1.00"
"1,529,218","SNP","C→T","rhsE","","pseudogene, Rhs family","","","pseudogene (1317/2037 nt)","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00","1.00"
"1,978,503","DEL","Δ776 bp","insB1, insA","","insB1, insA","","","","1.00","","1.00","","1.00","1.00","1.00","1.00","1.00","1.00","1.00","","1.00"
"3,560,329","SNP","G→T","glpR","","pseudogene, DNA-binding transcriptional repressor,regulator, Energy metabolism, carbon: Anaerobic respiration, repressor of the glp operon","","","pseudogene (125/606 nt)","","","","","","","1.00","","0.61","","0.50","",""
"3,815,810","DEL","Δ1 bp","pyrE, rph","","orotate phosphoribosyltransferase/ribonuclease PH (defective),enzyme, Degradation of RNA, RNase PH","","","intergenic (‑42/+24)","","","","","1.00","","1.00","","","","","","1.00"
"4,116,706","SNP","T→G","glpK","","glycerol kinase","","","K173Q (AAA→CAA)","","","","","","","1.00","","1.00","","1.00","","1.00"
"4,187,507","SNP","A→C","rpoC","","RNA polymerase, beta prime subunit","","","N720H (AAC→CAC)","","","","","","","1.00","","1.00","","1.00","","1.00"
"4,606,215","INS","(G)8→9","leuP","","tRNA-Leu","","","noncoding (72/87 nt)","","","","","","","1.00","","","","","",""
"2,173,361","DEL","Δ2 bp","gatC","","pseudogene, galactitol-specific enzyme IIC component of PTS,transport, Transport of small molecules: Carbohydrates, organic acids, alcohols, PTS system galactitol-specific enzyme IIC","","","pseudogene (1‑2/442 nt)","","1.00","","1.00","","","","","1.00","1.00","1.00","1.00",""
"3,950,469","SNP","T→G","ilvL, ilvX","","ilvG operon leader peptide/uncharacterized protein","","","intergenic (+49/‑38)","","","","","","","","","0.23","","0.23","",""
"4,296,268","SNP","T→C","gltP, yjcO","","glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein","","","intergenic (+474/+168)","","0.25","","0.27","","","","","0.29","0.33","0.29","0.23",""
"4,296,286","SNP","C→T","gltP, yjcO","","glutamate/aspartate:proton symporter/Sel1 family TPR-like repeat protein","","","intergenic (+492/+150)","","","","0.23","","","","","0.22","0.24","","",""
